Ulke,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Hindistan,623,698,784,873,964,1057,1148,1234,1310,1380,1450
Cin,916,982,1051,1135,1204,1263,1304,1338,1376,1411,1408
ABD,216,227,238,250,266,282,296,310,321,331,340
Endonezya,135,148,164,182,197,212,227,242,258,271,280
Pakistan,68,80,96,111,127,144,160,179,199,221,240
Nijerya,63,74,84,96,108,122,139,159,181,206,230
Brezilya,108,122,136,150,163,175,186,196,204,213,217
Banglades,71,81,92,104,117,129,140,148,157,166,175
Rusya,134,139,143,148,148,146,144,143,144,146,144
Meksika,60,68,76,84,92,99,107,114,121,129,133
