Plaka_Kodu,Il_Adi,Nufus
1,Adana,2274106
2,Adıyaman,604978
3,Afyonkarahisar,751344
4,Ağrı,511238
5,Amasya,339529
6,Ankara,5803482
7,Antalya,2696249
8,Artvin,172356
9,Aydın,1161702
10,Balıkesir,1273519
11,Bilecik,228058
12,Bingöl,285655
13,Bitlis,359747
14,Bolu,324789
15,Burdur,277452
16,Bursa,3214571
17,Çanakkale,570499
18,Çankırı,205501
19,Çorum,528351
20,Denizli,1059082
21,Diyarbakır,1818133
22,Edirne,419913
23,Elazığ,604411
24,Erzincan,243399
25,Erzurum,749754
26,Eskişehir,915418
27,Gaziantep,2164134
28,Giresun,461712
29,Gümüşhane,148539
30,Hakkari,287625
31,Hatay,1544640
32,Isparta,449777
33,Mersin,1938389
34,İstanbul,15655924
35,İzmir,4479525
36,Kars,278335
37,Kastamonu,388226
38,Kayseri,1441523
39,Kırklareli,377156
40,Kırşehir,247179
41,Kocaeli,2102907
42,Konya,2320241
43,Kütahya,575674
44,Malatya,742725
45,Manisa,1475716
46,Kahramanmaraş,1116618
47,Mardin,888874
48,Muğla,1066736
49,Muş,399879
50,Nevşehir,315994
51,Niğde,377080
52,Ordu,775800
53,Rize,350506
54,Sakarya,1098115
55,Samsun,1377546
56,Siirt,347412
57,Sinop,227038
58,Sivas,650401
59,Tekirdağ,1167059
60,Tokat,606934
61,Trabzon,824352
62,Tunceli,89317
63,Şanlıurfa,2213964
64,Uşak,377001
65,Van,1127612
66,Yozgat,420699
67,Zonguldak,591492
68,Aksaray,438504
69,Bayburt,86047
70,Karaman,263960
71,Kırıkkale,285744
72,Batman,647205
73,Şırnak,570745
74,Bartın,207238
75,Ardahan,92819
76,Iğdır,209738
77,Yalova,304780
78,Karabük,255242
79,Kilis,155179
80,Osmaniye,557666
81,Düzce,409865
